ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,year,times_listened
2022-07-01T08:51:35Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",56301,IN,106.202.180.190,unknown,Wondering,Xiu Xiu,FORGET,spotify:track:0163YUM6BGkHfbRQHQ7BxD,,,,trackdone,endplay,True,,False,1656665438522,False,2022,5.0
2022-07-01T15:25:51Z,rt47etgc6xpwhhhb8575rth83,web_player windows 10;microsoft edge 103.0.1264.37;desktop,41395,IN,106.202.180.190,,"Maniac - From ""Flashdance""",Michael Sembello,Car Music,spotify:track:4xh7nykNvSXZUrU0VbPzBM,,,,remote,endplay,True,,False,0,False,2022,1.0
2022-07-01T21:27:25Z,rt47etgc6xpwhhhb8575rth83,web_player windows 10;microsoft edge 103.0.1264.37;desktop,30036,AE,146.70.37.163,,Forever Always,THE DRIVER ERA,Girlfriend,spotify:track:2M3QytdR2BRysCSAzuiYW2,,,,trackdone,unexpected-exit,True,,False,0,False,2022,1.0
2022-07-01T22:56:59Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",227080,IN,223.190.96.235,unknown,Breezeblocks,alt-J,An Awesome Wave,spotify:track:1ZLroqJA8qoS5QEeCo0fA7,,,,trackdone,trackdone,True,,False,1656715990636,False,2022,1.0
2022-07-01T23:47:52Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",179224,IN,223.190.96.235,unknown,Superhero,Unknown Brain,Superhero,spotify:track:4tF4f9GwL52a4VruWF5Brp,,,,trackdone,trackdone,True,,False,1656719091689,False,2022,1.0
2022-07-02T13:42:00Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",492,IN,223.190.96.235,unknown,Pyramids,Frank Ocean,channel ORANGE,spotify:track:4QhWbupniDd44EDtnh2bFJ,,,,fwdbtn,fwdbtn,True,,False,1656769319244,False,2022,2.0
2022-07-02T13:42:12Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",0,IN,223.190.96.235,unknown,Shut Up,Savages,Silence Yourself,spotify:track:2sE29UK1nBXVQViNh0NSFh,,,,fwdbtn,fwdbtn,True,,False,1656769331370,False,2022,5.0
2022-07-02T20:49:46Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",22,IN,223.190.96.235,unknown,Burn the Witch,Radiohead,A Moon Shaped Pool,spotify:track:3DpuYpzkvUWXbmzCm6pfzR,,,,clickrow,endplay,True,,False,1656794986292,False,2022,21.0
2022-07-03T05:01:08Z,rt47etgc6xpwhhhb8575rth83,web_player windows 10;microsoft edge 103.0.1264.37;desktop,71714,IN,223.190.96.235,,Seven Nation Army (feat. KOYSINA),Dance Fruits Music,Strange Fruits Music,spotify:track:05y860js7tl7pqqleQz1Ib,,,,playbtn,fwdbtn,True,,False,0,False,2022,1.0
2022-07-03T05:07:29Z,rt47etgc6xpwhhhb8575rth83,web_player windows 10;microsoft edge 103.0.1264.37;desktop,163633,IN,223.190.96.235,,As It Was - Japanese Version,Shayne Orok,As It Was,spotify:track:1piKG7W0bFwhsK73cpUm5e,,,,clickrow,trackdone,True,,False,0,False,2022,6.0
2022-07-03T05:10:48Z,rt47etgc6xpwhhhb8575rth83,web_player windows 10;microsoft edge 103.0.1264.37;desktop,17382,IN,223.190.96.235,,Middle of the Night - Japanese Version,Shayne Orok,Middle of the Night,spotify:track:5k7Y0AIojLQO2340lN9jUv,,,,clickrow,endplay,True,,False,0,False,2022,1.0
2022-07-03T05:12:15Z,rt47etgc6xpwhhhb8575rth83,web_player windows 10;microsoft edge 103.0.1264.37;desktop,86351,IN,223.190.96.235,,Fukashigi no Carte - Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Shayne Orok,Fukashigi no Carte,spotify:track:4kOGfnVEGTLuxa8fnzlIGj,,,,clickrow,trackdone,True,,False,0,False,2022,5.0
2022-07-03T05:12:42Z,rt47etgc6xpwhhhb8575rth83,web_player windows 10;microsoft edge 103.0.1264.37;desktop,26519,IN,223.190.96.235,,MIC Drop,Shayne Orok,"Army Covers, Vol. 1",spotify:track:6q80FeFt2cQWWWAD3UQDqt,,,,trackdone,endplay,True,,False,0,False,2022,1.0
2022-07-03T05:14:06Z,rt47etgc6xpwhhhb8575rth83,web_player windows 10;microsoft edge 103.0.1264.37;desktop,83536,IN,223.190.96.235,,"Inferno - From ""Fire Force: Enen no Shouboutai""",Shayne Orok,Inferno,spotify:track:0WMBVkoi8JcZouA2wLzuVV,,,,clickrow,fwdbtn,True,,False,0,False,2022,1.0
